Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,26980000,15845793,58.7,98.4,232451,98.6,13792986,11977889,18320469,75.6,115.6,17777837,16819419,16675051, , , ,16546742,104.4,16737017,9.7,16599826,104.8,50.6,71067.0,93.8,64.0,0.3,0.0,0.1,0.0,0.0,1.5,87.6,10.5,160606.0,5.9,10.1,16.5,4.1,1.4,2.2,0.1,59.6
A & N Islands,8000,4032,50.4,108.1,64,98.4,2499,3976,4066,98.6,100.8,3778,3746,3681, , , ,3672,91.1,4069,9.7,1397,34.6,369.2,70.0,118.2,22.2,0.0,0.0,0.1,0.0,0.0,0.5,72.9,26.6,68.0,14.9,23.9,16.4,6.0,0.0,1.5,0.0,37.3
Andhra Pradesh Old,1553000,1139236,73.3,99.2,9238,99.2,1080312,959964,1123739,84.3,98.6,1113777,1099559,1096234, , , ,1077595,94.6,1090611,4.1,1099233,96.5,85.6,1237.0,97.8,93.1,0.1,0.0,0.0,0.0,0.0,0.4,98.1,1.5,9226.0,3.2,7.9,17.4,2.1,0.6,1.6,0.1,67.2
Arunachal Pradesh,27000,8353,30.9,98.8,186,97.8,7801,8553,14703,102.4,176.0,14259,12710,11307, , , ,11859,142.0,10001,19.3,5354,64.1,32.3,19.0,88.8,63.2,0.0,0.1,0.0,0.0,0.0,4.1,77.4,18.4,16.0,46.7,13.3,0.0,6.7,0.0,0.0,0.0,33.3
Assam,727000,392841,54.0,97.9,11689,97.1,329047,148110,483632,37.7,123.1,453920,449498,438158, , , ,438233,111.6,428124,9.4,404621,103.0,50.9,866.0,96.3,89.1,0.0,0.0,0.0,0.0,0.0,5.2,82.7,12.1,1868.0,3.1,8.6,12.9,6.7,1.1,4.8,0.1,62.8
Bihar,2809000,971225,34.5,87.8,21584,97.8,775388,1254960,1689146,129.2,173.9,1580563,1435255,1338775, , , ,1458922,150.2,1925194,13.6,1278844,131.7,6.4,656.0,91.4,69.3,0.9,0.1,0.1,0.3,0.0,11.0,77.9,9.6,1065.0,25.6,9.1,14.7,8.6,1.1,9.7,0.9,30.4
Chandigarh,23000,17080,74.2,98.9,510,97.1,16548,16757,18249,98.1,106.8,13376,11861,11425, , , ,12711,74.4,12300,30.3,12699,74.4,56.0,13.0,95.3,0.0,0.1,0.0,0.0,0.0,0.0,0.5,99.1,0.3,860.0,24.3,9.4,3.8,6.7,1.0,1.9,0.0,52.9
Chhattisgarh,630000,422398,67.0,94.0,7481,98.3,403362,194256,422900,46.0,100.1,402861,392699,390334, , , ,390628,92.5,391124,7.6,381546,90.3,77.8,2978.0,96.9,68.6,0.8,0.0,0.4,0.0,0.0,0.0,90.7,8.1,8113.0,6.4,2.4,2.9,1.4,0.6,0.8,0.0,85.4
Dadra & Nagar Haveli,9000,6536,72.6,140.6,76,98.9,5952,3048,5671,46.6,86.8,4897,4766,4818, , , ,4947,75.7,4803,12.8,3869,59.2,10.9,5.0,85.9,34.0,0.0,0.0,0.0,0.0,0.0,0.8,78.8,20.4,85.0,16.9,7.0,8.5,16.9,0.0,2.8,0.0,47.9
Daman & Diu,5000,1132,22.6,49.7,8,99.3,1100,1822,2036,161.0,179.9,2016,1977,2020, , , ,2301,203.3,2299,-13.0,2367,209.1,49.9,3.0,99.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,99.7,0.2,11.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,55.6
Delhi,335000,134136,40.0,100.8,2930,97.9,116862,128237,185496,95.6,138.3,174837,159211,147987, , , ,158172,117.9,160150,14.7,125553,93.6,27.2,25.0,91.4,18.2,0.0,0.0,0.0,0.0,0.0,0.3,98.5,1.2,2708.0,22.7,10.9,15.3,9.4,5.3,4.8,0.8,30.8
Goa,24000,15357,63.9,99.4,174,98.9,15313,15957,18404,103.9,119.8,17104,16838,16718, , , ,16490,107.4,16490,10.4,16488,107.4,100.1,,98.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.9,3.1,,,,,,,,,
Gujarat,1327000,897093,67.6,99.3,12640,98.6,828114,676894,920051,75.5,102.6,870936,837783,868501, , , ,854179,95.2,840145,7.2,825401,92.0,104.3,4548.0,96.4,73.4,0.4,0.0,0.0,0.0,0.1,1.4,92.4,5.7,14000.0,2.1,8.9,28.3,2.3,3.3,2.1,0.6,52.4
Haryana,581000,390810,67.2,102.5,4219,98.9,349019,276120,432164,70.7,110.6,407615,393812,398521, , , ,407165,104.2,402540,5.8,386053,98.8,50.9,11243.0,95.9,74.5,0.0,0.0,0.0,0.0,0.0,0.0,98.1,1.9,3564.0,0.5,0.9,5.4,0.8,0.3,0.4,0.0,91.7
Himachal Pradesh,120000,78389,65.3,99.2,976,98.8,74089,27333,97961,34.9,125.0,91163,88910,88981, , , ,89592,114.3,89393,8.5,88778,113.3,135.0,96.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,99.5,0.1,820.0,8.7,13.0,18.4,6.1,1.5,2.8,0.0,49.5
Jammu & Kashmir,219000,114052,52.0,82.2,2540,97.8,79735,98107,170511,86.0,149.5,166337,162308,161603, , , ,170896,149.8,171913,-0.2,147983,129.8,46.9,79.0,85.3,74.2,0.4,0.1,0.0,0.2,0.0,3.9,94.5,0.9,81.0,14.5,10.1,13.0,10.1,1.4,1.4,0.0,49.3
Jharkhand,807000,449180,55.6,100.5,5372,98.8,368479,292900,568701,65.2,126.6,539747,506951,493633, , , ,473404,105.4,461053,16.8,442064,98.4,10.9,3724.0,93.7,66.8,0.2,0.4,0.0,0.2,0.0,6.6,48.0,44.6,722.0,4.4,4.2,18.9,7.9,0.8,8.3,0.0,55.5
