Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Karnataka,1172000,638044,54.4,107.5,11364,98.3,600801,675918,831580,105.9,130.3,807935,782220,806536, , , ,761757,119.4,843790,8.4,707663,110.9,58.2,7387.0,94.7,65.8,0.0,0.0,0.0,0.0,0.0,2.4,90.7,6.9,4518.0,6.3,19.4,28.0,5.5,0.3,1.5,0.1,38.9
Kerala,503000,378829,75.3,100.3,1667,99.6,374724,357772,385295,94.4,101.7,405988,389368,380065, , , ,365085,96.4,351070,5.2,325677,86.0,75.1,1030.0,99.4,78.2,0.0,0.1,0.0,0.0,0.0,3.8,95.6,0.4,1131.0,3.1,20.5,22.5,4.3,0.5,0.1,0.0,48.9
Lakshadweep,1000,401,40.1,173.6,9,97.8,337,454,467,113.2,116.5,596,613,532, , , ,593,147.9,627,-27.0,937,233.7,17.7,8.0,100.4,105.3,2.5,0.0,0.0,0.0,0.0,0.0,81.7,15.8,4.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,25.0
Madhya Pradesh,2008000,1205365,60.0,98.8,19381,98.4,1109007,913961,1210228,75.8,100.4,1246030,1193686,1167443, , , ,1196132,99.2,1153783,1.2,1185680,98.4,78.6,1155.0,95.6,69.5,0.0,0.0,0.0,0.0,0.0,0.7,83.6,15.6,19168.0,5.9,6.4,14.8,3.9,1.1,2.6,0.1,65.1
Maharashtra,2006000,1411617,70.3,100.7,18850,98.7,1133032,1087304,1493022,77.0,105.8,1460728,1382718,1386611, , , ,1369217,97.0,1304370,8.3,1296965,91.9,53.7,884.0,98.7,29.2,0.1,0.1,0.0,0.1,0.0,0.4,97.7,1.7,26691.0,2.8,4.9,14.8,3.5,1.2,1.4,0.0,71.3
Manipur,39000,25402,65.1,99.8,228,99.1,24598,4470,38215,17.6,150.4,38156,36045,33849, , , ,31551,124.2,30054,17.4,25933,102.1,15.5,13.0,82.8,66.7,0.0,0.0,0.0,0.1,0.0,2.2,95.7,2.0,43.0,5.7,2.9,17.1,14.3,2.9,8.6,5.7,42.9
Meghalaya,66000,50603,76.6,97.9,1151,97.8,35372,21993,59206,43.5,117.0,58275,54204,49601, , , ,46422,91.7,42352,21.6,53824,106.4,29.3,12.0,81.9,62.8,0.0,0.0,0.0,0.0,0.0,1.0,89.1,9.9,1655.0,5.6,8.7,5.8,13.1,3.0,12.3,0.2,51.3
Mizoram,18000,16686,92.7,99.1,134,99.2,15704,1632,16987,9.8,101.8,17202,17192,17013, , , ,16876,101.1,16416,0.7,7754,46.5,50.9,878.0,93.7,81.0,0.1,0.0,0.0,0.0,0.0,2.4,74.6,22.9,398.0,5.9,2.7,2.7,27.2,1.6,10.0,0.5,49.3
Nagaland,39000,12599,32.3,99.1,121,99.0,8925,11321,15553,89.9,123.4,16451,15518,14852, , , ,14214,112.8,12195,8.6,7996,63.5,36.7,5.0,92.4,49.2,0.0,0.1,0.0,0.0,0.0,9.8,74.4,15.6,9.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,25.0
Odisha,869000,490938,56.4,97.5,13150,97.4,349831,321368,574448,65.5,117.0,529737,520726,513850, , , ,513206,104.5,500749,10.7,524305,106.8,131.2,6246.0,96.3,89.1,0.2,0.0,0.0,0.0,0.0,0.7,56.4,42.6,16463.0,9.6,9.2,20.0,5.6,2.2,3.0,0.1,50.4
Puducherry,22000,34128,155.1,98.0,764,97.8,32207,29711,30312,87.1,88.8,13149,11779,11622, , , ,11499,33.7,11471,62.1,10558,30.9,45.6,4610.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,199.0,17.0,37.3,15.0,0.7,0.0,0.0,0.0,30.1
Punjab,477000,295479,61.9,98.0,4880,98.4,280004,242717,355249,82.1,120.2,338417,323396,321932, , , ,326589,110.5,323959,8.1,303108,102.6,93.5,776.0,94.9,76.5,0.0,0.0,0.0,0.0,0.0,0.2,98.5,1.3,1428.0,2.0,3.6,8.3,6.1,5.2,9.0,0.2,65.6
Rajasthan,1854000,1028982,55.5,100.3,19635,98.1,805311,531688,1032088,51.7,100.3,1118314,1049895,1063928, , , ,1052132,102.2,979073,-1.9,960737,93.4,64.8,615.0,98.3,53.9,0.0,0.1,0.0,0.0,0.0,1.1,86.4,12.4,11081.0,6.7,10.9,19.7,4.2,1.7,2.5,0.0,54.3
Sikkim,11000,6007,54.6,98.5,121,98.0,4687,4786,6553,79.7,109.1,6522,6325,6558, , , ,6755,112.5,6702,-3.1,2687,44.7,131.8,,95.3,88.7,0.0,0.0,0.0,0.0,0.0,4.7,95.3,0.0,82.0,3.4,8.5,13.6,13.6,3.4,1.7,0.0,55.9
Tamil Nadu,1076000,811445,75.4,100.7,8439,99.0,799703,815583,811131,100.5,100.0,827088,816045,813675, , , ,802973,99.0,788884,1.0,1969738,242.7,31.0,6545.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99.7,0.1,9418.0,4.9,21.6,9.8,4.2,1.3,0.7,0.2,57.3
Tripura,55000,35924,65.3,99.2,822,97.8,31340,11196,43036,31.2,119.8,46499,41891,38266, , , ,37949,105.6,31092,11.8,38131,106.1,25.1,28.0,92.9,86.3,0.0,0.0,0.0,0.0,0.0,1.8,85.3,12.9,163.0,19.1,5.7,5.7,9.9,0.7,4.3,0.0,54.6
Uttar Pradesh,5801000,3137569,54.0,97.6,32449,99.0,2657364,1797439,3843438,57.3,122.5,3753606,3426246,3355117, , , ,3214971,102.5,3208547,16.4,2770018,88.3,19.4,1815.0,88.0,64.5,9.6,0.0,0.0,0.0,0.0,2.6,74.0,13.8,1063.0,13.0,13.2,17.2,7.4,3.6,4.6,0.0,40.9
Uttarakhand,199000,97713,49.1,96.8,1053,98.9,81006,72195,135846,73.9,139.0,130923,125188,124552, , , ,127151,130.1,126392,6.4,117544,120.3,36.8,49.0,83.9,70.8,0.1,0.0,0.0,0.0,0.0,2.3,90.3,7.2,190.0,8.2,16.5,12.0,4.4,1.3,6.3,0.0,51.3
West Bengal,1560000,1126212,72.1,102.5,18435,98.4,995413,913324,1242924,81.1,110.4,1105035,1048480,1036972, , , ,1050255,93.3,995282,15.5,1041490,92.5,37.5,13449.0,92.8,27.0,0.0,0.0,0.1,0.0,0.0,1.7,96.9,1.2,23695.0,8.3,19.3,17.7,4.5,0.5,2.2,0.1,47.5
