Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,27016000,15694541,58.0,102.5,242941,98.5,14577563,12882138,18027845,82.1,114.9,13639560.0,13445546.0,13516686.0,4015484.0,3627309.0,3423033.0,17052409,108.7,16774596,5.4,14930230,95.1,71.8,146657,96.9,74.3,0.1,0.1,0.1,0.0,0,1.4,91.9,6.3,106010,8.5,13.5,20.9,6.0,0.5,1.9,0.0,48.7
A & N Islands,6000,4011,66.8,109.2,115,97.2,3891,3920,4009,97.7,100.0,4001.0,3978.0,3902.0,,,,3781,94.3,3662,5.7,3692,92.0,201.1,120,93.7,52.7,0.0,0.0,0.0,0.0,0,1.8,93.1,5.1,31,16.1,6.5,19.4,3.2,0.0,0.0,3.2,51.6
Andhra Pradesh,885000,511976,57.8,132.3,7844,98.5,462644,605410,683415,118.2,133.5,604480.0,602008.0,610846.0,1957.0,1516.0,1518.0,599742,117.1,635164,12.2,587508,114.8,128.6,605,98.3,84.1,1.1,4.0,4.0,0.2,0,3.6,78.8,8.3,1631,1.7,11.7,20.4,4.4,0.3,0.9,0.0,60.6
Arunachal Pradesh,28000,12455,44.4,99.9,200,98.4,11855,12240,17309,98.3,139.0,15864.0,14518.0,13463.0,11.0,6.0,3.0,13683,109.9,12484,20.9,4678,37.6,33.2,28,88.2,54.1,0.1,0.0,0.0,0.3,0,1.2,89.2,9.3,31,5.9,0.0,11.8,17.6,5.9,11.8,0.0,47.1
Assam,729000,456224,62.5,98.1,10581,97.7,446752,192171,470759,42.1,103.2,463419.0,458868.0,445055.0,6.0,0.0,0.0,441675,96.8,435433,6.2,422687,92.6,42.3,2280,97.0,94.1,0.0,0.0,0.0,0.0,0,1.8,97.2,0.9,3582,3.9,16.6,16.2,7.7,0.5,4.9,0.2,50.0
Bihar,3003000,1544467,51.4,101.5,25994,98.3,1412266,1376013,1988741,89.1,128.8,1914131.0,1862821.0,1826302.0,1885.0,1339.0,1159.0,1778632,115.2,1722872,10.6,1259758,81.6,14.1,14575,98.1,83.8,0.1,0.1,0.1,0.0,0,0.7,98.0,1.1,40,12.5,6.3,12.5,9.4,0.0,3.1,0.0,56.3
Chandigarh,18000,19913,110.6,98.9,599,97.1,19909,19834,20296,99.6,101.9,11745.0,10707.0,10800.0,2916.0,2145.0,2038.0,12887,64.7,12769,36.5,1566,7.9,20.5,1,97.4,0.0,0.0,0.0,0.0,0.0,0,0.5,99.3,0.2,1207,39.0,8.6,1.4,4.9,0.0,0.1,0.0,46.0
Chhattisgarh,652000,374687,57.4,99.4,8653,97.7,364595,305164,413958,81.4,110.5,406336.0,402086.0,400807.0,0.0,0.0,1.0,395756,105.6,383010,4.4,379698,101.3,77.6,7104,96.4,90.1,0.0,0.0,0.0,0.0,0,0.5,80.1,19.3,3530,4.0,8.2,30.6,12.9,0.6,1.7,0.0,42.0
Dadra & Nagar Haveli,10000,5531,55.3,99.8,47,99.2,4631,4585,5717,82.9,103.4,5166.0,5131.0,5357.0,0.0,0.0,0.0,5677,102.6,5518,0.7,2531,45.8,7.0,0,98.6,78.4,0.0,0.0,0.0,0.0,0,2.5,94.4,3.1,122,28.7,4.9,25.4,4.1,0.0,0.8,0.0,36.1
Daman & Diu,5000,2824,56.4,99.6,29,99.0,1558,2442,2603,86.5,92.2,2579.0,2603.0,2587.0,0.0,0.0,0.0,3052,108.1,3039,-17.2,2982,105.6,36.6,0,100.0,88.2,0.0,0.1,0.0,0.0,0,0.5,99.4,0.0,33,28.6,14.3,28.6,4.8,0.0,4.8,0.0,19.0
