Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,% Newborns weighed at birth to live birth,Number of Newborns having weight less than 2.5 kg,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,% Newborns breast fed within 1 hour of birth to Total live birth,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given Hep- B0 (birth dose),% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,Number of Infants given MR,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Abcess ),Adverse Events Following Imunisation (Deaths),Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,Pneumonia in Children 0-5 Years of Age,Asthma in Children 0-5 Years of Age,Sepsis in Children 0-5 Years of Age,Diphtheria in Children 0-5 Years of Age,Pertussis in Children 0-5 Years of Age,Tetanus Neonatorum in Children 0-5 Years of Age,Tuberculosis (TB) in Children 0-5 Years of Age,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,Measles in Children 0-5 Years of Age,Malaria in Children 0-5 Years of Age,Diarrhoea in Children 0-5 Years of Age,Diarrhoea treated in Inpatients in Children 0-5 Years of Age,No. of infants given Measles Rubella vaccine 1st dose,No. of infants received Rotavirus Vaccine 1st dose,No. of infants received Rotavirus Vaccine 2nd dose,No. of infants received Rotavirus Vaccine 3nd dose,No of children 16-24 months age given Measles 2nd dose,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose
Gujarat,1336000,997108,74.6,102.9,10594,98.9,934144,93.7,114838,12.3,856166,85.9,909,879114,996821,607157,88.2,100.0,60.9,15035,11483,12896,889277,857949,851623,868501,3867,87.5,890558,12.9,83.8,85.7,1714,8,8,99.0,91.2,19488,2680,1239,233,15,24,1151,1151,750,19488,235755,17593,3867,962,510,510,749928,2206
Haryana,585000,398721,68.1,99.7,5660,98.6,365570,91.7,27209,7.4,349509,87.7,911,362638,412227,263237,91.0,103.4,66.0,596,711,719,388912,367200,360115,407629,1701,102.7,392821,1.1,98.2,63.8,718,1,1,98.1,88.1,3892,4310,2585,4,5,11,523,523,176,3892,18327,6475,1701,348404,323260,323260,338178,1561
Himachal Pradesh,118000,66356,56.2,99.3,923,98.6,65738,99.1,8515,13.0,57091,86.0,931,59609,70666,54793,89.8,106.5,82.6,0,0,0,77530,75715,74537,39309,27644,100.9,66698,44.4,106.3,120.9,32,0,0,99.2,93.1,1773,222,316,11,0,2,20,20,60,1773,16152,1268,27644,52582,49872,49872,36213,22027
Jammu & Kashmir,219000,139623,63.7,98.8,2671,98.1,136793,98.0,7937,5.8,126067,90.3,950,133942,149350,123563,95.9,107.0,88.5,851,581,575,167483,165750,164476,163718,193,117.4,161879,-9.6,118.9,93.9,157,0,0,93.9,91.4,4451,2839,1421,61,21,0,74,74,193,4451,51179,11126,193,8,5,5,148165,56
Jharkhand,845000,579481,68.5,99.7,7389,98.7,545794,94.2,38600,7.1,534156,92.2,920,385888,610918,264830,66.6,105.4,45.7,1675,795,1292,605211,577453,569164,618203,0,106.7,615191,-1.2,79.3,50.5,1321,1,1,99.1,88.9,7817,227,153,52,7,2,285,285,876,7817,15013,2638,0,0,0,0,484793,0
Karnataka,1164000,689346,59.2,100.2,7665,98.9,678357,98.4,66238,9.8,647225,93.9,944,662497,790027,596019,96.1,114.6,86.5,5952,3812,4049,840821,813012,821036,71960,748746,119.1,784438,90.9,115.9,132.8,696,10,10,95.8,77.5,15012,13604,3047,43,3,1,1164,1164,519,15012,156238,25593,748746,1830,1111,1111,37042,699145
Kerala,515000,387582,75.2,111.5,1545,99.6,376699,97.2,42648,11.3,308683,79.6,965,379915,398016,248917,98.0,102.7,64.2,716,648,660,428109,405536,389795,258940,136781,102.1,375965,34.9,96.0,70.4,148,14,14,100.0,90.0,3930,4955,110,45,16,10,172,172,227,3930,32507,8881,136781,3788,3051,3051,18991,58909
Lakshadweep,1000,608,60.8,99.3,5,99.2,606,99.7,54,8.9,484,79.6,924,609,616,599,100.2,101.3,98.5,0,4,24,763,754,704,153,608,125.2,713,75.2,14.5,19.3,0,0,0,92.3,100.0,11,335,0,0,0,0,0,0,0,11,1486,195,608,14,0,0,45,708
Madhya Pradesh,2042000,1027735,50.3,98.8,17436,98.3,999098,97.2,145276,14.5,959993,93.4,929,905579,1040393,850433,88.1,101.2,82.7,2525,1724,2160,1130484,1085374,1062459,1148325,359,111.8,1149933,-10.4,113.0,88.5,1152,4,4,98.8,87.9,31523,3434,2568,164,22,31,1549,1549,900,31523,178010,48883,359,1034848,879227,879227,1028013,329
Maharashtra,1989000,1343808,67.5,99.7,12805,99.1,1310269,97.5,157741,12.0,1243556,92.5,948,1211862,1487815,835970,90.2,110.7,62.2,1008,586,607,1442123,1399707,1397381,1417563,12460,106.4,1410572,4.7,102.4,77.4,22,11,11,99.7,82.8,10342,2642,2201,20,1,4,1050,1050,1431,10342,56155,18560,12460,18476,17506,17506,1152545,17684
