Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Delhi,312000,111708.0,35.8,108.0,1944.0,98.3,66866.0,86123.0,194049.0,77.1,173.7,190686.0,165439.0,152453.0,,,,158975.0,142.3,186438.0,18.1,140031.0,125.4,5.7,189.0,94.9,19.8,0.0,0.1,0.0,0.0,0.0,1.0,97.0,1.9,422.0,4.3,3.1,1.9,2.6,0.7,0.0,0.0,87.4
Goa,24000,18210.0,75.8,100.2,299.0,98.4,18024.0,19219.0,21273.0,105.5,116.8,18504.0,18458.0,18057.0,,,,16793.0,92.2,,21.1,16936.0,93.0,81.3,,,,0.0,0.0,0.0,0.0,0.0,0.9,70.0,29.1,,,,,,,,,
Gujarat,1314000,790008.0,60.1,103.4,32871.0,96.0,510752.0,499443.0,841447.0,63.2,106.5,800175.0,745333.0,754357.0,,,,753271.0,95.3,731084.0,10.5,725531.0,91.8,9.3,7563.0,94.2,0.0,10.7,0.1,6.0,0.0,0.0,0.7,61.4,21.2,16105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Haryana,572000,379695.0,66.3,101.9,3910.0,99.0,341511.0,224975.0,403576.0,59.3,106.3,351531.0,332593.0,334816.0,,,,388938.0,102.4,387873.0,3.6,147565.0,38.9,15.3,959.0,96.8,53.7,0.0,0.0,0.0,0.0,0.1,0.0,91.3,8.6,1976.0,0.3,0.4,1.2,1.7,1.3,0.2,0.0,95.0
Himachal Pradesh,115000,81495.0,70.8,98.5,939.0,98.9,49450.0,14852.0,96289.0,18.2,118.2,92646.0,91992.0,93795.0,,,,88866.0,109.0,87121.0,7.7,87450.0,107.3,0.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Jammu & Kashmir,216000,124126.0,57.4,81.9,1702.0,98.6,78608.0,73749.0,197690.0,59.4,159.3,171066.0,168027.0,175548.0,,,,175039.0,141.0,184494.0,11.5,78722.0,63.4,17.7,1310.0,88.7,67.4,2.9,0.4,0.0,0.3,0.0,10.5,85.0,0.9,686.0,0.0,0.4,0.0,0.1,0.0,0.0,93.4,6.0
Jharkhand,794000,371432.0,46.7,98.7,5048.0,98.7,251864.0,221607.0,545409.0,59.7,146.8,508610.0,467332.0,445805.0,,,,468241.0,126.1,435730.0,14.1,474333.0,127.7,10.5,,91.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,99.8,0.0,2785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Karnataka,1153000,698115.0,60.5,90.8,26083.0,96.4,633647.0,455059.0,837417.0,65.2,120.0,767384.0,748678.0,776665.0,,,,774149.0,110.9,829424.0,7.6,728623.0,104.4,40.7,3812.0,95.2,0.9,0.0,0.0,0.0,0.0,0.0,0.4,94.5,5.1,7530.0,4.7,4.2,8.6,2.4,0.4,1.0,0.5,78.3
Kerala,499000,376304.0,75.4,270.1,1845.0,99.5,379414.0,368606.0,383445.0,98.0,101.9,373906.0,354054.0,348305.0,,,,364459.0,96.9,346749.0,5.0,129586.0,34.4,4.4,1.0,98.3,0.0,,,,,,,,,2943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Lakshadweep,1000,,,0.0,,,,,133.0,,,,43.0,136.0,,,,129.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,1979000,1282349.0,64.7,98.9,26080.0,98.0,1116823.0,852641.0,1380795.0,66.5,107.7,1347305.0,1278577.0,1252157.0,,,,1319459.0,102.9,1382298.0,4.4,1315889.0,102.6,11.0,555.0,95.3,52.8,0.5,0.1,0.0,0.0,0.0,0.7,61.0,37.8,7594.0,1.7,2.1,4.8,1.6,0.6,1.7,0.3,87.3
Maharashtra,1971000,1216520.0,61.7,91.6,20991.0,98.3,1051409.0,689501.0,1508152.0,56.7,124.0,1316017.0,1232245.0,1286366.0,,,,1231376.0,101.2,1228467.0,18.4,1156977.0,95.1,45.8,733.0,,,2.3,0.0,0.0,0.0,0.5,0.6,93.5,3.0,20778.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,99.7
Manipur,35000,22251.0,63.5,111.3,154.0,99.3,19165.0,1327.0,34679.0,6.0,155.9,35807.0,33669.0,32381.0,,,,27139.0,122.0,26392.0,21.7,23.0,0.1,17.4,,90.0,62.9,0.0,0.0,0.0,0.0,0.0,2.0,94.6,3.4,23.0,4.5,9.1,18.2,9.1,0.0,4.5,0.0,54.5
Meghalaya,62000,39926.0,64.3,112.1,904.0,97.8,24417.0,3055.0,45264.0,7.7,113.4,45759.0,40652.0,37596.0,,,,32815.0,82.2,39755.0,27.5,41977.0,105.1,0.2,1.0,92.5,50.8,0.0,0.0,0.0,0.0,0.0,1.8,70.5,27.7,537.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,97.8
Mizoram,18000,14655.0,81.4,101.1,1428.0,91.1,14981.0,228.0,8044.0,1.6,54.9,8973.0,8662.0,8397.0,,,,8678.0,59.2,10435.0,-7.9,2602.0,17.8,6.8,,9.7,6.1,0.0,0.0,0.0,0.0,0.0,1.2,57.0,41.8,47.0,0.0,0.0,0.0,4.3,0.0,25.5,0.0,70.2
Nagaland,38000,5720.0,15.0,116.6,230.0,96.1,3057.0,890.0,9634.0,15.6,168.4,11362.0,10000.0,9560.0,,,,7898.0,138.1,17745.0,18.0,6784.0,118.6,0.0,111.0,100.0,10.0,2.5,1.1,0.0,0.6,0.0,8.8,70.8,16.1,135.0,0.0,0.0,0.0,1.5,0.0,95.6,0.0,3.0
Odisha,857000,435656.0,50.8,92.1,10651.0,97.6,316256.0,184516.0,522635.0,42.4,120.0,442471.0,400544.0,379635.0,,,,365681.0,83.9,362681.0,30.0,394465.0,90.5,42.6,6988.0,157.4,119.3,0.6,0.1,0.0,0.0,0.1,0.7,58.7,39.9,1737.0,4.0,5.3,23.2,2.9,1.2,4.0,0.1,59.5
Puducherry,19000,5333.0,28.0,28.2,166.0,97.0,4579.0,3280.0,30838.0,61.5,578.2,1319.0,7574.0,9641.0,,,,9786.0,183.5,588.0,68.3,10632.0,199.4,9.7,15.0,89.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,,,,,
Punjab,474000,291472.0,61.4,98.6,2800.0,99.0,223904.0,92173.0,329636.0,31.6,113.1,296522.0,274889.0,273795.0,,,,321938.0,110.5,313675.0,2.3,178446.0,61.2,2.4,494.0,94.9,41.4,0.1,0.0,0.0,0.0,0.0,2.0,95.8,2.1,869.0,0.9,1.5,3.7,1.3,0.7,1.7,0.1,90.1
Rajasthan,1819000,1010417.0,55.5,109.3,13449.0,98.7,942014.0,417177.0,1284266.0,41.3,127.1,1229522.0,1165748.0,1142253.0,,,,1071023.0,106.0,1017886.0,16.6,975001.0,96.5,0.8,477.0,81.9,1.1,0.0,0.0,0.0,0.0,0.1,0.3,94.8,4.7,3153.0,0.0,0.0,0.4,36.8,3.9,2.8,5.0,51.1
Sikkim,11000,5810.0,52.8,133.5,85.0,98.6,3730.0,3769.0,6040.0,64.9,104.0,7214.0,7942.0,7844.0,,,,7824.0,134.7,5550.0,-29.5,7573.0,130.3,0.7,,61.8,36.7,0.3,0.0,0.0,0.0,0.0,0.6,98.9,0.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Tamil Nadu,1049000,806254.0,76.8,97.2,10214.0,98.7,806844.0,808188.0,816988.0,100.2,101.3,820912.0,806429.0,810289.0,,,,702990.0,87.2,679223.0,14.0,36611.0,4.5,1656.5,,98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,98.2,1.7,10649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Tripura,60000,30887.0,51.4,98.2,674.0,97.9,21704.0,2397.0,41303.0,7.8,133.7,44881.0,40968.0,38772.0,,,,38333.0,124.1,34991.0,7.2,40763.0,132.0,6.6,26.0,88.9,86.7,0.0,0.0,0.0,0.0,0.0,0.2,76.7,23.1,233.0,11.2,3.4,7.8,8.3,0.5,8.8,0.0,60.0
Uttar Pradesh,5674000,1334719.0,23.5,72.7,29257.0,97.9,936533.0,613352.0,5278439.0,46.0,395.5,4506622.0,4081152.0,4182355.0,,,,4384235.0,328.5,1718578.0,16.9,1649238.0,123.6,17.1,,81.7,48.2,23.0,3.8,5.7,0.3,4.0,1.5,59.7,2.1,458.0,4.1,7.5,8.4,2.3,4.5,0.5,0.9,71.9
Uttarakhand,196000,83857.0,42.7,87.3,1636.0,98.1,53089.0,68233.0,142773.0,81.4,170.3,146567.0,127474.0,127411.0,,,,126996.0,151.4,158642.0,11.1,10112.0,12.1,12.9,146.0,90.2,63.1,0.6,0.1,0.2,0.5,0.0,1.7,93.8,2.9,120.0,1.8,8.3,13.8,3.7,0.0,3.7,0.0,68.8
West Bengal,1566000,1166391.0,74.4,106.4,19839.0,98.3,956252.0,824713.0,1248739.0,70.7,107.1,828221.0,718902.0,714068.0,,,,1047913.0,89.8,913752.0,16.1,1051074.0,90.1,1.9,7263.0,86.9,0.4,0.0,0.0,0.0,0.0,0.0,1.5,96.6,1.8,24682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
