Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Delhi,298000,158329,53.1,99.8,3011,98.1,136032,146532,200333,92.5,126.5,191902,172543,162285,,,,170442,107.7,161153,14.9,91680,57.9,24.5,59,92.7,22.0,0.0,0.0,0.0,0.0,0,1.9,96.4,1.6,958,21.0,7.3,12.5,13.5,2.3,4.2,0.1,39.1
Goa,20000,16118,80.5,100.5,243,98.5,16193,15151,17538,94.0,108.8,18464,17222,16762,,,,15890,98.6,15179,9.4,15598,96.8,95.1,22,99.4,3.6,0.0,0.0,0.0,0.0,0,1.0,92.6,6.3,1,,,,,,,,
Gujarat,1296000,891255,68.7,99.3,13404,98.5,850273,670259,915040,75.2,102.7,867722,838057,870928,,,,865768,97.1,851594,5.4,741116,83.2,68.4,2953,96.8,79.2,1.1,0.0,0.5,0.1,0,1.0,88.1,9.1,15008,1.8,8.6,32.4,2.0,2.2,2.3,0.1,50.6
Haryana,557000,396988,71.2,99.8,4977,98.8,368785,292147,406322,73.6,102.4,395607,381468,389250,,,,407072,102.5,387658,-0.2,370819,93.4,66.2,10217,93.8,70.5,0.0,0.0,0.0,0.0,0,0.2,95.6,4.2,4466,2.9,3.6,6.2,6.0,8.7,2.3,0.2,70.0
Himachal Pradesh,114000,73868,64.7,99.0,1032,98.6,70930,29352,88915,39.7,120.4,82947,81515,82538,,,,87414,118.3,87334,1.7,81417,110.2,111.8,14,98.2,0.0,0.0,0.1,0.0,0.0,0,0.6,99.2,0.1,880,10.0,15.7,21.2,9.5,2.6,4.0,0.0,36.9
Jammu & Kashmir,225000,114014,50.6,92.6,2455,97.9,84746,91579,154204,80.3,135.3,161349,159510,155394,,,,152309,133.6,198138,1.2,121612,106.7,59.9,116,90.0,77.7,0.1,0.1,0.0,0.0,0,3.3,95.6,1.0,74,17.4,10.1,7.2,14.5,7.2,4.3,0.0,39.1
Jharkhand,830000,450728,54.3,101.0,8240,98.2,400481,280530,536112,62.2,118.9,527619,503592,488084,,,,516389,114.6,488779,3.7,398713,88.5,124.1,7527,94.5,71.4,0.2,0.1,0.1,0.3,0,9.6,46.4,43.4,527,2.2,2.8,17.5,7.8,1.1,6.6,0.0,62.0
Karnataka,1154000,672688,58.2,111.4,12579,98.2,627814,719745,886106,107.0,131.7,861289,829557,846937,,,,796873,118.5,890717,10.1,666037,99.0,72.5,5741,95.5,72.0,0.0,0.0,0.0,0.0,0,2.0,94.4,3.6,2390,6.8,17.1,19.2,10.1,0.8,2.9,0.1,43.1
Kerala,510000,377016,73.9,99.0,1876,99.5,370820,366937,396665,97.3,105.2,394145,393793,381701,,,,359120,95.3,340405,9.5,227658,60.4,83.8,709,99.3,78.7,0.0,0.1,0.0,0.0,0,2.2,95.7,2.0,1067,4.2,16.2,35.1,2.0,0.0,0.0,0.0,42.5
Lakshadweep,1000,567,56.7,156.6,9,98.4,553,543,565,95.8,99.6,795,744,706,0.0,0.0,0.0,914,161.2,812,-61.8,641,113.1,109.5,20,92.4,95.9,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,4,25.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0
Madhya Pradesh,1969000,1118743,56.8,98.6,19415,98.3,1019969,792414,1127961,70.8,100.8,1183336,1139477,1113400,,,,1122850,100.4,1061155,0.5,1100336,98.4,65.8,1143,96.2,72.7,0.0,0.0,0.0,0.1,0,0.7,85.7,13.5,16957,6.7,9.2,17.4,4.2,0.7,2.4,0.0,59.3
Maharashtra,1889000,1344158,71.1,98.7,22166,98.4,1294219,1130499,1393891,84.1,103.7,1460124,1390119,1385285,,,,1380374,102.7,1282927,1.0,1222769,91.0,37.3,70805,90.9,52.1,0.1,0.0,0.0,0.1,0,0.7,91.4,7.7,23454,5.8,12.0,25.9,5.3,1.9,1.2,0.6,47.3
Manipur,37000,26143,70.6,100.0,223,99.2,24951,5209,36769,19.9,140.6,37417,35591,34102,,,,33957,129.9,32115,7.6,26224,100.3,15.4,6,89.1,63.3,0.0,0.0,0.0,0.0,0,2.6,95.9,1.5,31,0.0,0.0,9.1,13.6,4.5,18.2,0.0,54.5
Meghalaya,72000,55862,77.5,98.3,1465,97.4,44415,26536,60060,47.5,107.5,57788,54189,49754,,,,44468,79.6,41752,26.0,40764,73.0,34.7,7,78.7,58.7,0.0,0.0,0.0,0.0,0,1.1,93.1,5.8,1160,4.2,8.7,4.2,14.7,2.7,10.7,0.1,54.8
Mizoram,18000,14110,78.3,100.0,232,98.4,13022,1209,15345,8.6,108.8,14729,14831,15008,,,,14711,104.3,14410,4.1,11422,80.9,56.8,705,95.4,80.2,0.0,0.0,0.0,0.0,0,4.1,74.4,21.5,138,9.5,0.0,2.6,29.3,4.3,14.7,0.0,39.7
Nagaland,32000,13759,42.9,98.7,188,98.7,11931,13204,16437,96.0,119.5,16217,15215,14098,,,,12391,90.1,10843,24.6,10395,75.6,25.1,0,93.9,55.5,0.0,0.0,0.0,0.0,0,5.5,84.6,9.8,41,0.0,5.9,8.8,8.8,5.9,14.7,0.0,55.9
Odisha,847000,539352,63.6,97.9,13831,97.5,457522,324475,601810,60.2,111.6,551013,531989,523760,,,,532065,98.6,512152,11.6,584010,108.3,122.3,20712,97.3,92.4,0.0,0.0,0.0,0.0,0,0.8,58.7,40.6,11764,5.5,11.8,26.5,7.3,0.3,1.8,0.0,46.7
Puducherry,21000,31002,147.6,98.2,739,97.7,29697,28757,28605,92.8,92.3,13937,12308,11169,,,,10583,34.1,10580,63.0,8288,26.7,42.2,3234,97.4,0.0,0.0,0.0,0.0,0.0,0,0.0,99.8,0.2,84,10.2,51.0,18.4,0.0,0.0,0.0,0.0,20.4
Punjab,452000,318858,70.5,99.0,4806,98.5,291312,240075,329402,75.3,103.3,320508,306357,302206,,,,309656,97.1,306628,6.0,263489,82.6,88.9,838,94.2,77.0,0.0,0.0,0.0,0.0,0,0.4,94.4,5.2,2218,2.1,5.3,9.3,4.1,2.4,9.6,0.1,67.0
Rajasthan,1810000,1052572,58.1,100.2,20439,98.1,793090,588162,1047442,55.9,99.5,1059988,1003698,1013271,,,,1016637,96.6,987984,2.9,899798,85.5,51.5,718,115.5,74.3,0.0,0.0,0.0,0.1,0,1.8,88.6,9.5,12123,6.1,13.1,23.2,3.5,1.2,1.3,0.0,51.5
Sikkim,11000,6126,55.6,100.3,147,97.7,5716,5124,6762,83.6,110.4,6523,6538,6447,,,,6920,113.0,6641,-2.3,4586,74.9,112.1,59,98.2,90.0,0.0,0.0,0.0,0.0,0,2.9,95.7,1.4,5,0.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0
Tamil Nadu,1151000,796192,69.1,97.7,8250,99.0,792334,789966,789974,99.2,99.2,782493,785377,781276,,,,777587,97.7,745845,1.6,1619471,203.4,68.3,4897,98.6,11.5,0.0,0.0,0.0,0.0,0,0.1,99.7,0.2,9227,5.9,20.9,9.8,2.8,1.1,0.7,0.0,58.8
Tripura,53000,37063,69.9,98.6,725,98.1,33286,13171,42025,35.5,113.4,45018,42155,39872,,,,39275,106.0,33524,6.5,14025,37.8,27.1,2,93.6,87.1,0.0,0.0,0.0,0.0,0,0.9,89.2,9.9,186,9.9,9.3,7.5,27.3,0.6,6.8,0.0,38.5
Uttar Pradesh,5603000,2972773,53.0,109.3,59012,98.1,2483651,1697506,3243649,57.1,109.1,3264389,3013602,2999997,,,,2992497,100.7,3012635,7.7,2938138,98.8,10.0,2490,90.7,62.5,16.1,0.0,0.0,0.0,0,0.5,76.5,6.8,1057,11.3,12.5,14.2,7.6,2.7,8.2,4.4,39.1
Uttarakhand,192000,102261,53.2,98.4,1566,98.5,87526,86335,151833,84.4,148.5,148629,143962,145049,,,,135454,132.5,129868,10.8,60455,59.1,51.2,96,91.5,82.6,0.0,0.0,0.0,0.0,0,3.0,95.6,1.3,123,4.6,11.5,20.7,10.3,0.0,1.1,0.0,51.7
West Bengal,1495000,1113410,74.4,100.0,19461,98.3,1007468,893836,1231072,80.3,110.6,1087792,1039233,1029820,0.0,0.0,0.0,1044111,93.8,982927,15.2,720086,64.7,43.3,14471,93.8,55.5,0.0,0.0,0.0,0.0,0,2.4,96.3,1.2,11832,10.1,22.6,19.3,4.6,0.5,2.1,0.0,40.8
