Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,26606000,15366425,57.7,98.9,236449.0,98.5,12995176.0,13323648.0,19220026.0,86.7,125.1,18723471.0,18307432.0,18473783.0,,,,17865887.0,116.3,17972888.0,7.0,17777085.0,115.7,48.9,47888.0,92.5,56.3,0.6,0.0,0.0,0.0,0.0,1.5,84.4,13.4,134668.0,4.8,9.2,14.0,4.9,2.8,3.3,0.2,60.9
A & N Islands,8000,4545,56.8,119.5,69.0,98.5,4318.0,4187.0,3881.0,92.1,85.4,3725.0,3646.0,3697.0,,,,3791.0,83.4,6020.0,2.3,3588.0,78.9,207.7,12.0,99.6,18.7,1.3,0.0,0.0,0.0,0.0,1.0,72.9,24.9,38.0,7.4,7.4,7.4,40.7,0.0,0.0,0.0,37.0
Andhra Pradesh Old,1539000,1172573,76.1,102.9,9122.0,99.2,1058806.0,928217.0,1150298.0,79.2,98.1,1123009.0,1118093.0,1122136.0,,,,1116675.0,95.2,1141160.0,2.9,1082912.0,92.4,41.6,879.0,97.0,93.1,0.1,0.0,0.1,0.0,0.0,0.8,93.9,5.1,7282.0,2.4,6.1,16.1,1.1,0.8,1.7,0.8,70.9
Arunachal Pradesh,27000,7234,26.7,100.7,180.0,97.6,6900.0,5992.0,12679.0,82.8,175.3,12030.0,11097.0,9824.0,,,,9855.0,136.2,12883.0,22.3,7018.0,97.0,39.5,,73.3,46.8,0.3,0.1,0.0,0.0,0.0,2.2,71.2,26.2,15.0,6.7,20.0,0.0,33.3,0.0,6.7,0.0,33.3
Assam,718000,354983,49.4,95.3,9245.0,97.5,290786.0,106909.0,481146.0,30.1,135.5,447783.0,442179.0,432883.0,,,,415266.0,117.0,402284.0,13.7,379651.0,106.9,21.7,2690.0,96.1,77.2,0.0,0.0,0.0,0.0,0.0,7.0,84.8,8.3,1480.0,3.3,6.3,6.3,6.4,0.5,2.4,0.4,74.4
Bihar,2770000,925761,33.4,106.9,27609.0,97.1,586558.0,1049317.0,1662241.0,113.3,179.6,1706268.0,1720771.0,1694211.0,,,,1522399.0,164.4,1753734.0,8.4,1129591.0,122.0,19.3,4422.0,94.3,65.1,2.3,0.1,1.1,0.4,0.1,13.1,73.5,9.3,409.0,2.8,11.9,9.2,7.3,0.0,0.0,0.0,68.8
Chandigarh,22000,16595,75.4,98.4,514.0,97.0,14813.0,16851.0,18467.0,101.5,111.3,13820.0,12623.0,12093.0,,,,13779.0,83.0,12028.0,25.4,13478.0,81.2,41.2,7.0,95.7,0.0,0.1,0.0,0.0,0.0,0.0,0.5,95.2,4.1,172.0,18.6,29.7,15.9,6.2,5.5,4.8,0.0,19.3
Chhattisgarh,621000,421939,67.9,97.1,6575.0,98.5,396215.0,159745.0,436619.0,37.9,103.5,420286.0,419062.0,422961.0,,,,420050.0,99.6,420050.0,3.8,420857.0,99.7,90.0,,98.3,65.1,0.0,0.0,0.0,0.0,0.0,0.0,95.6,4.4,8362.0,5.9,4.1,3.5,1.8,1.0,1.2,0.0,82.5
Dadra & Nagar Haveli,9000,6443,71.5,151.1,46.0,99.3,5540.0,1228.0,6094.0,19.1,94.6,6001.0,5932.0,6049.0,,,,5585.0,86.7,5468.0,8.4,4849.0,75.3,4.9,,90.0,25.0,0.0,0.0,0.0,0.0,0.0,1.2,88.3,10.5,259.0,12.4,7.9,36.1,7.1,0.4,0.4,0.0,35.7
Daman & Diu,4000,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,326000,126336,38.7,107.9,2457.0,98.1,108013.0,115497.0,194032.0,91.4,153.6,193077.0,175210.0,167016.0,,,,168105.0,133.1,181119.0,13.4,104264.0,82.5,24.4,41.0,92.3,17.0,0.0,0.0,0.0,0.0,0.0,0.3,98.8,0.9,1541.0,18.8,13.1,16.1,11.4,3.7,1.4,0.1,35.5
Goa,23000,14875,64.6,98.9,296.0,98.0,14806.0,16590.0,18687.0,111.5,125.6,14144.0,14013.0,14016.0,,,,16636.0,111.8,3951.0,11.0,16658.0,112.0,86.6,,97.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,71.9,27.0,,,,,,,,,
Gujarat,1309000,797058,60.8,102.5,15305.0,98.1,757662.0,628683.0,893423.0,78.9,112.1,886385.0,849576.0,856563.0,,,,827059.0,103.8,816411.0,7.4,813284.0,102.0,131.8,8276.0,95.9,65.1,0.1,0.0,0.0,0.0,0.0,2.8,82.8,14.3,11630.0,6.4,8.9,27.7,4.0,0.9,2.0,0.2,49.8
Haryana,572000,392699,68.6,102.4,4070.0,99.0,352482.0,270073.0,448919.0,68.8,114.3,426460.0,416675.0,426679.0,,,,427525.0,108.9,424402.0,4.8,403067.0,102.6,48.2,2649.0,96.4,65.4,0.0,0.0,0.0,0.0,0.0,0.0,96.3,3.6,2799.0,0.7,1.0,3.1,0.9,0.4,0.6,0.1,93.2
Himachal Pradesh,119000,78374,65.8,100.2,821.0,99.0,71591.0,18829.0,98386.0,24.0,125.5,92885.0,92019.0,94073.0,,,,93845.0,119.7,93446.0,4.6,93907.0,119.8,139.4,,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,98.5,1.1,323.0,3.6,13.1,20.1,6.2,1.8,4.0,0.0,51.1
Jammu & Kashmir,216000,127824,59.1,91.7,2571.0,98.0,70154.0,2163816.0,172066.0,1692.8,134.6,180817.0,179583.0,184713.0,,,,194287.0,152.0,217770.0,-12.9,167478.0,131.0,24.7,228.0,85.8,73.8,0.0,0.1,0.0,0.0,0.0,4.2,94.6,1.1,238.0,9.7,5.1,4.0,24.6,27.4,7.4,0.6,21.1
Jharkhand,796000,424307,53.3,99.9,4400.0,99.0,323966.0,237834.0,502964.0,56.1,118.5,513586.0,505220.0,502969.0,,,,476786.0,112.4,460896.0,5.2,458099.0,108.0,13.3,859.0,92.1,60.7,0.0,0.3,0.0,0.0,0.0,3.1,45.7,50.9,477.0,5.2,2.7,8.2,7.2,0.5,5.5,0.5,70.2
Karnataka,1159000,692021,59.7,99.4,12923.0,98.2,655065.0,658038.0,810909.0,95.1,117.2,760193.0,768448.0,778124.0,,,,734575.0,106.1,874578.0,9.4,687522.0,99.3,79.9,3368.0,89.8,28.4,0.0,0.0,0.0,0.0,0.0,1.3,91.4,7.2,9121.0,6.0,17.1,27.5,4.7,1.2,1.4,0.2,41.7
Kerala,500000,372667,74.5,99.9,1645.0,99.6,346594.0,376207.0,402265.0,100.9,107.9,415319.0,402948.0,397962.0,,,,379910.0,101.9,371319.0,5.6,316499.0,84.9,64.0,930.0,97.7,74.2,0.0,0.1,0.0,0.0,0.0,2.2,97.1,0.7,346.0,0.0,16.7,0.0,0.0,0.0,16.7,0.0,66.7
Lakshadweep,1000,497,49.7,101.8,15.0,97.1,460.0,469.0,469.0,94.4,94.4,728.0,720.0,705.0,,,,729.0,146.7,717.0,-55.4,13.0,2.6,0.0,92.0,91.5,86.9,0.0,0.0,0.0,0.0,0.3,0.0,99.5,0.3,9.0,0.0,33.3,11.1,11.1,22.2,0.0,0.0,22.2
Madhya Pradesh,1976000,1212503,61.3,99.1,18884.0,98.5,1060439.0,894816.0,1251811.0,73.8,103.2,1294695.0,1244018.0,1236865.0,,,,1283212.0,105.8,1251270.0,-2.5,1282592.0,105.8,68.0,835.0,94.0,64.6,0.4,0.0,0.0,0.0,0.0,0.4,69.6,29.5,19107.0,4.6,4.9,11.9,7.7,6.5,5.0,0.1,59.3
