Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Maharashtra,1978000,1181883,59.7,105.2,20238.0,98.3,1032146.0,1063473.0,1583632.0,90.0,134.0,1478231.0,1443364.0,1414339.0,,,,1392275.0,117.8,1356451.0,12.1,1455417.0,123.1,45.0,213.0,91.8,11.6,0.1,0.1,0.0,0.1,0.2,0.9,95.1,3.4,9508.0,1.5,7.2,11.7,2.5,1.1,1.8,0.3,74.0
Manipur,38000,24037,63.2,100.9,186.0,99.2,22597.0,4988.0,38475.0,20.8,160.1,38913.0,36466.0,34959.0,,,,32511.0,135.3,31707.0,15.5,29765.0,123.8,17.3,2.0,82.6,60.5,0.0,0.0,0.0,0.0,0.0,4.5,93.0,2.5,25.0,21.1,5.3,10.5,21.1,5.3,5.3,0.0,31.6
Meghalaya,65000,48402,74.4,100.3,1068.0,97.8,32838.0,18964.0,56665.0,39.2,117.1,54634.0,50656.0,46573.0,,,,40668.0,84.0,38922.0,28.2,27252.0,56.3,15.7,1.0,78.5,60.2,0.0,0.0,0.0,0.0,0.0,2.2,76.9,20.9,1283.0,4.0,7.6,6.0,8.1,2.2,16.2,1.2,54.7
Mizoram,18000,18088,100.4,104.8,136.0,99.3,16737.0,1651.0,17896.0,9.1,98.9,17768.0,17565.0,17836.0,,,,16329.0,90.3,17293.0,8.8,16336.0,90.3,35.8,559.0,88.2,78.8,0.0,0.0,0.0,0.0,0.0,4.1,63.8,32.0,492.0,3.6,1.4,2.5,28.1,1.4,11.0,0.0,52.1
Nagaland,39000,11316,29.0,98.3,163.0,98.6,8482.0,10621.0,19460.0,93.9,172.0,22459.0,21182.0,19721.0,,,,19772.0,174.7,16999.0,-1.6,8501.0,75.1,19.4,7.0,93.6,50.4,0.0,0.0,0.0,0.0,0.0,15.0,61.9,23.0,34.0,0.0,6.7,0.0,13.3,3.3,3.3,0.0,73.3
Odisha,861000,483106,56.1,97.3,14124.0,97.2,321201.0,282493.0,590444.0,58.5,122.2,572779.0,586359.0,609773.0,,,,594345.0,123.0,577920.0,-0.7,593250.0,122.8,125.8,1832.0,96.8,87.3,0.0,0.0,0.0,0.0,0.0,0.7,52.2,47.1,15019.0,6.1,8.0,16.8,8.5,6.2,6.3,0.6,47.4
Puducherry,21000,31534,150.1,83.3,779.0,97.6,29952.0,30413.0,29794.0,96.4,94.5,12542.0,11340.0,11370.0,,,,11508.0,36.5,11553.0,61.4,11139.0,35.3,64.4,2219.0,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,385.0,9.2,23.1,23.6,1.4,0.9,0.0,0.0,41.8
Punjab,471000,288427,61.2,98.5,4532.0,98.5,267557.0,225589.0,341481.0,78.2,118.4,345286.0,333008.0,332568.0,,,,329043.0,114.1,328036.0,3.6,242821.0,84.2,28.6,874.0,95.3,73.7,0.0,0.0,0.0,0.0,0.0,0.4,97.6,2.0,823.0,10.2,4.9,8.1,7.5,3.6,7.4,0.0,58.3
Rajasthan,1824000,1022362,56.0,98.2,16240.0,98.4,880131.0,525677.0,1270623.0,51.4,124.3,1181041.0,1125797.0,1150522.0,,,,1136675.0,111.2,1086838.0,10.5,1071912.0,104.8,61.0,1135.0,102.3,58.8,0.1,0.0,0.0,0.1,0.0,1.5,89.2,9.0,7073.0,6.6,9.9,16.0,7.0,6.6,9.6,0.1,44.4
Sikkim,11000,4925,44.7,120.7,210.0,95.9,3974.0,3468.0,5751.0,70.4,116.8,6184.0,6101.0,6152.0,,,,6316.0,128.2,6154.0,-9.8,6228.0,126.5,109.6,,92.9,88.4,0.0,0.0,0.0,0.0,0.0,2.6,96.5,0.9,16.0,18.2,9.1,9.1,18.2,0.0,9.1,0.0,36.4
Tamil Nadu,1069000,817351,76.4,98.2,9371.0,98.9,803754.0,811093.0,814476.0,99.2,99.6,830386.0,820807.0,818011.0,,,,804278.0,98.4,790765.0,1.3,1826880.0,223.5,49.9,866.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,98.1,1.7,11218.0,2.0,17.1,10.1,2.8,0.7,0.7,0.0,66.5
Tripura,55000,32754,59.5,98.4,547.0,98.4,28950.0,9194.0,37824.0,28.1,115.5,41189.0,37935.0,35359.0,,,,33244.0,101.5,29758.0,12.1,32475.0,99.1,44.4,68.0,92.0,89.7,0.0,0.0,0.0,0.0,0.0,0.3,86.7,13.0,457.0,16.0,18.8,10.7,10.7,0.2,7.1,0.0,36.4
Uttar Pradesh,5699000,3094466,54.2,93.5,31529.0,99.0,2442283.0,1659528.0,4367219.0,53.6,141.1,4236683.0,4057888.0,4118103.0,,,,3988745.0,128.9,4027130.0,8.7,3767756.0,121.8,30.0,636.0,83.3,58.2,18.4,0.6,0.6,0.1,0.5,0.5,73.5,5.9,2685.0,7.3,6.1,10.2,5.0,2.1,4.2,0.0,65.2
Uttarakhand,196000,100811,51.4,99.1,1573.0,98.5,77272.0,77396.0,148774.0,76.8,147.6,152895.0,149114.0,150124.0,,,,135137.0,134.0,157499.0,9.2,140224.0,139.1,14.2,44.0,81.7,75.4,0.1,0.0,0.0,0.0,0.0,1.3,95.9,2.7,223.0,7.7,13.6,12.4,5.3,3.0,0.6,0.0,57.4
West Bengal,1546000,1057729,68.4,99.5,18894.0,98.2,900871.0,896372.0,1295781.0,84.7,122.5,1221270.0,1226968.0,1277987.0,,,,1181974.0,111.7,1046357.0,8.8,1134837.0,107.3,13.8,14144.0,92.5,5.0,0.0,0.0,0.0,0.0,0.0,2.3,96.8,0.9,21819.0,3.6,10.7,9.5,2.7,0.7,1.6,0.0,71.2
