Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Manipur,44000,29784,67.6,100.1,149,99.5,29304,19368,36471,65.0,122.5,34640,35012,33937,3374.0,875.0,120.0,33218,111.5,31588,8.9,25388,85.2,40.2,7,92.7,76.4,0.0,0.0,0.0,0.0,0,3.4,96.4,0.2,63,4.8,11.3,11.3,11.3,6.5,6.5,0.0,48.4
Meghalaya,75000,62481,83.3,98.3,1391,97.8,55788,33394,62529,53.4,100.1,52549,56103,55074,8274.0,2418.0,660.0,53219,85.2,50067,14.9,46099,73.8,14.7,1318,84.9,65.1,0.0,0.1,0.0,0.0,0,0.6,87.4,12.0,1763,5.0,4.0,4.3,23.6,2.4,15.6,0.1,45.1
Mizoram,19000,14864,78.2,99.1,151,99.0,14461,5789,15485,38.9,104.2,11530,13232,14339,3547.0,2108.0,688.0,14890,100.2,14455,3.8,4302,28.9,49.3,135,97.3,85.0,0.0,0.0,0.0,0.0,0,7.0,74.2,18.8,316,7.1,10.4,12.7,15.9,2.3,6.8,0.6,44.2
Nagaland,32000,16660,52.0,96.0,263,98.4,15236,14158,20694,85.0,124.2,18653,17811,16729,958.0,246.0,16.0,15585,93.5,14683,24.7,6752,40.5,13.9,0,95.7,61.6,0.0,0.0,0.0,0.0,0,3.0,94.2,2.8,98,10.5,29.5,11.6,20.0,3.2,1.1,0.0,24.2
Odisha,846000,501699,59.3,98.4,12103,97.6,492655,427758,528096,85.3,105.3,336664,399377,462138,170356.0,108654.0,49513.0,521345,103.9,518360,1.3,530286,105.7,140.6,57822,99.6,94.7,0.0,0.0,0.0,0.0,0,0.4,66.3,33.2,9589,4.7,14.4,19.5,5.9,0.3,1.6,0.0,53.6
Puducherry,22000,32409,147.3,98.5,509,98.5,32393,32134,32377,99.2,99.9,181,174,204,14105.0,11933.0,11770.0,12077,37.3,11942,62.7,11361,35.1,74.2,3035,98.2,0.0,0.0,0.0,0.0,0.0,0,0.4,99.5,0.2,36,36.7,10.0,33.3,0.0,0.0,0.0,0.0,20.0
Punjab,451000,299122,66.3,99.2,4515,98.5,297182,256716,331939,85.8,111.0,10604,19096,36093,304094.0,289221.0,275379.0,341644,114.2,339052,-2.9,302076,101.0,82.7,216,96.1,80.7,0.0,0.2,0.0,0.0,0,0.2,99.0,0.5,1102,1.8,4.0,8.0,5.3,3.2,7.0,0.0,70.7
Rajasthan,1833000,1060787,57.8,99.6,19787,98.2,1002055,775960,1155622,73.1,108.9,10705,12501,15422,1070754.0,1019393.0,999808.0,1049559,98.9,1033774,9.2,937092,88.3,48.5,102,96.8,68.6,0.2,0.1,0.0,0.1,0,2.2,94.3,3.1,14617,14.4,6.7,17.0,5.4,0.4,1.2,0.0,54.8
Sikkim,11000,5870,53.3,99.0,96,98.4,5706,5604,5972,95.5,101.7,3663,4419,5196,2196.0,1395.0,711.0,6283,107.0,6175,-5.2,6249,106.5,96.4,16,98.4,87.6,0.0,0.0,0.0,0.0,0,1.7,98.2,0.0,79,6.5,7.8,13.0,13.0,0.0,5.2,0.0,54.5
Tamil Nadu,1141000,709009,62.1,99.9,3887,99.5,708956,701783,703037,99.0,99.2,0,0,0,709333.0,699437.0,698173.0,721523,101.8,687280,-2.6,431696,60.9,128.0,1340,97.5,3.8,0.0,0.0,0.0,0.0,0,0.1,99.8,0.1,4132,15.9,21.5,20.3,2.4,0.2,0.3,0.0,39.3
Telangana,658000,454570,69.0,107.3,6632,98.6,336580,364105,435527,80.1,95.8,170445,210829,253132,289393.0,244008.0,205112.0,468939,103.2,416455,-7.7,419792,92.3,59.1,84,98.1,55.2,0.0,0.0,0.0,0.0,0,2.4,93.6,3.9,724,1.5,10.0,23.0,6.0,0.0,1.6,0.1,57.8
Tripura,58000,37364,64.4,98.7,661,98.3,36462,21756,39932,58.2,106.9,34194,37115,36955,6803.0,1644.0,43.0,39332,105.3,35546,1.5,30759,82.3,25.9,45,97.3,94.7,0.0,0.0,0.0,0.0,0,1.6,79.9,18.6,385,14.8,17.0,11.6,16.2,0.8,2.4,0.0,37.2
Uttar Pradesh,5823000,2916899,50.0,103.5,37764,98.7,2517383,1821680,3664799,62.5,125.6,3550038,3390407,3327983,24278.0,1210.0,1124.0,3469585,118.9,3502130,5.3,3253350,111.5,96.1,3977,96.4,80.8,0.2,0.0,0.0,0.0,0,3.8,88.3,7.6,1366,5.8,9.5,14.4,5.9,2.4,7.8,0.0,54.3
Uttarakhand,195000,112164,57.5,99.4,1581,98.6,108645,85677,140631,76.4,125.4,1808,4459,8232,140966.0,138380.0,134726.0,149200,133.0,142343,-6.1,84523,75.4,37.4,16286,92.6,86.6,0.0,0.0,0.0,0.0,0,0.5,95.8,3.6,242,4.4,19.3,21.9,5.3,1.8,2.6,0.0,44.7
West Bengal,1483000,1029906,69.4,99.0,16798,98.4,969171,914250,1125617,88.8,109.3,8735,39200,126663,1025464.0,974418.0,904476.0,1072545,104.1,1047673,4.7,1067079,103.6,59.9,18973,99.1,79.1,0.0,0.0,0.0,0.0,0,1.9,97.8,0.3,13067,15.5,25.7,21.9,3.9,0.1,0.9,0.2,31.9
