Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,26903000,15950936,59.2,100.2,231263,98.6,14863440,13050127,18192105,81.8,114.1,5936241,6265786,6832719,11635042.0,10753228.0,10054494.0,17537572,109.9,17151396,3.6,15564980,97.6,72.6,172610,97.6,75.5,0.0,0.0,0.0,0.0,0,1.1,93.5,5.4,113165,8.8,12.9,21.0,5.3,0.5,1.9,0.0,49.7
A & N Islands,6000,3580,59.6,113.0,117,96.8,3204,3398,3545,94.9,99.0,3126,3170,3369,,,,4675,130.6,3956,-31.9,3735,104.3,172.7,132,95.2,48.4,0.0,0.0,0.0,0.0,0,1.3,85.1,13.5,57,21.1,17.5,15.8,3.5,0.0,1.8,0.0,40.4
Andhra Pradesh,873000,618340,70.8,105.0,6690,98.9,526768,552223,638142,89.3,103.2,165515,217419,274457,453338.0,404968.0,353309.0,622554,100.7,580156,2.4,584372,94.5,53.2,979,99.3,82.2,0.1,0.0,0.0,0.0,0,1.4,96.2,2.3,2991,4.5,14.3,23.7,4.7,0.6,1.8,0.0,50.5
Arunachal Pradesh,28000,12857,45.9,100.1,195,98.5,11848,11630,17234,90.5,134.0,16789,16875,16077,1464.0,345.0,46.0,15431,120.0,13748,10.5,9479,73.7,28.7,95,92.3,61.0,0.3,0.0,0.0,0.2,0,1.7,91.1,6.7,51,4.3,0.0,10.6,19.1,2.1,2.1,0.0,61.7
Assam,738000,456333,61.8,98.4,10040,97.8,446159,217370,460576,47.6,100.9,12632,42997,93495,453145.0,424170.0,358150.0,466353,102.2,462118,-1.3,447304,98.0,44.2,2841,97.1,94.5,0.0,0.0,0.0,0.0,0,2.6,96.1,1.3,3571,4.4,18.1,19.0,6.9,0.6,4.4,0.0,46.7
Bihar,2854000,1544755,54.1,96.7,22607,98.6,1455469,1398039,2035960,90.5,131.8,12599,87738,239008,1884921.0,1756309.0,1592105.0,1992330,129.0,1940795,2.1,979008,63.4,4.5,20794,97.9,84.2,0.0,0.0,0.0,0.0,0,0.5,98.3,1.2,828,2.4,5.4,15.2,8.2,1.2,1.9,0.0,65.6
Chandigarh,18000,21027,116.8,98.6,661,97.0,21027,20058,20778,95.4,98.8,4868,6283,7533,8650.0,5996.0,4461.0,12810,60.9,12647,38.3,12920,61.4,60.5,25,95.9,15.5,0.0,0.0,0.0,0.0,0,1.1,98.6,0.3,716,22.6,5.4,2.3,4.4,0.0,0.8,0.0,64.4
Chhattisgarh,634000,364316,57.4,99.0,8673,97.7,357785,314080,419744,86.2,115.2,23275,68699,108917,375427.0,325251.0,280652.0,412628,113.3,409060,1.7,403348,110.7,121.2,5157,96.9,90.1,0.0,0.0,0.0,0.0,0,0.5,78.2,21.3,3734,3.4,8.6,29.7,9.5,0.4,1.5,0.0,46.9
Dadra & Nagar Haveli,10000,6959,69.5,99.5,122,98.3,6042,6937,7934,99.7,114.0,2471,3155,3872,2907.0,2265.0,1734.0,5919,85.1,5792,25.4,4605,66.2,13.7,8,97.6,85.7,0.0,0.0,0.0,0.0,0,0.5,98.9,0.6,137,24.4,8.1,31.1,0.7,0.7,0.7,0.0,34.1
Daman & Diu,5000,2882,57.6,99.6,31,98.9,1806,2644,2596,91.7,90.1,1130,1453,1761,1577.0,1088.0,742.0,3026,105.0,2993,-16.6,3019,104.8,36.6,45,100.0,93.7,0.0,0.0,0.0,0.0,0,0.2,99.7,0.1,42,28.1,31.3,15.6,0.0,0.0,0.0,0.0,25.0
Delhi,321000,202473,63.0,99.2,3882,98.1,191090,179037,235043,88.4,116.1,20068,21193,21477,217305.0,204799.0,197069.0,247830,122.4,233238,-5.4,202711,100.1,34.2,24,95.5,46.4,0.0,0.0,0.0,0.0,0,0.9,98.1,0.9,2508,18.5,11.9,15.9,8.8,1.0,3.1,0.0,40.7
Goa,21000,14521,69.1,98.9,292,98.0,14517,13483,14502,92.9,99.9,270,253,273,14999.0,15016.0,14942.0,16419,113.1,14747,-13.2,16285,112.1,89.5,22,99.8,0.0,0.0,0.0,0.0,0.0,0,1.1,92.6,6.3,32,0.0,11.1,5.6,16.7,0.0,0.0,0.0,66.7
Gujarat,1319000,928143,70.3,101.0,12384,98.7,879953,820916,970150,88.4,104.5,21779,20109,19826,875514.0,839759.0,833722.0,866367,93.3,845720,10.7,824592,88.8,91.7,13882,98.4,89.7,0.0,0.0,0.0,0.0,0,0.3,97.4,2.3,6174,1.8,11.6,29.3,3.0,0.4,1.1,0.0,52.7
Haryana,577000,378380,65.5,98.8,5562,98.6,361951,387993,467546,102.5,123.6,272,4027,4107,385523.0,371066.0,366244.0,404181,106.8,360054,13.6,412862,109.1,66.1,3606,98.9,78.4,0.0,0.0,0.0,0.0,0,0.4,98.7,0.9,7156,2.8,4.0,13.9,2.1,0.0,0.0,0.1,77.0
Himachal Pradesh,117000,70121,59.9,99.0,1188,98.3,69193,60427,79116,86.2,112.8,47954,58087,67778,32920.0,22293.0,12716.0,83721,119.4,83405,-5.8,83249,118.7,104.5,509,99.2,66.9,0.1,0.0,0.0,0.0,0,1.4,98.5,0.0,797,5.5,12.3,9.9,3.3,1.0,3.8,0.1,64.0
Jammu & Kashmir,222000,139799,62.9,99.3,2589,98.2,107174,136271,159435,97.5,114.0,1674,1179,1040,166509.0,164714.0,161089.0,160973,115.1,158283,-1.0,134641,96.3,73.1,82,92.4,83.0,0.0,0.0,0.0,0.0,0,1.0,97.8,1.2,480,18.0,18.3,18.9,7.4,0.9,2.2,0.0,34.3
Jharkhand,835000,501614,60.0,99.3,7015,98.6,465304,302622,564614,60.3,112.6,29894,75099,147311,522654.0,470052.0,386627.0,548269,109.3,533767,2.9,630249,125.6,54.2,4176,97.3,82.7,0.0,0.0,0.0,0.0,0,6.1,56.9,37.0,1063,2.5,5.9,15.0,5.3,1.0,6.0,0.1,64.3
Karnataka,1156000,684654,59.2,99.8,7903,98.9,670144,658714,829488,96.2,121.2,5503,4400,4285,828500.0,809639.0,822756.0,808856,118.1,810295,2.5,671709,98.1,10.7,3480,95.8,63.6,0.0,0.0,0.0,0.0,0,1.0,97.9,1.1,5755,13.5,21.5,22.2,4.8,0.2,0.9,0.0,37.0
Kerala,509000,368892,72.4,100.9,1580,99.6,367470,361798,373334,98.1,101.2,1406,1493,1224,381152.0,368946.0,359115.0,363237,98.5,355473,2.7,330985,89.7,58.1,2133,99.6,87.3,0.0,0.2,0.0,0.0,0,2.2,97.2,0.3,133,4.5,22.6,23.3,4.5,0.0,0.0,0.0,45.1
Lakshadweep,1000,639,63.9,100.0,9,98.6,633,618,609,96.7,95.3,703,727,753,116.0,42.0,19.0,774,121.1,778,-27.1,1014,158.7,1.2,17,92.9,91.8,1.6,1.6,1.6,0.0,0,0.0,95.3,0.0,5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0
Madhya Pradesh,2001000,1066739,53.3,98.7,19403,98.2,1039769,904212,1074019,84.8,100.7,13494,15573,20811,1100014.0,1053481.0,1017915.0,1103488,103.4,1070239,-2.7,1118182,104.8,95.6,7196,99.0,83.7,0.0,0.0,0.0,0.0,0,0.4,91.4,8.2,18580,6.2,7.6,22.9,4.6,0.6,3.2,0.0,54.9
Maharashtra,1967000,1280324,65.0,99.2,14033,98.9,1244157,1217525,1510638,95.1,118.0,1306410,1376122,1391985,154512.0,17689.0,8762.0,1418953,110.8,1402609,6.1,1522152,118.9,76.8,4051,99.8,68.6,0.0,0.0,0.0,0.0,0,2.4,95.7,1.9,10776,7.8,13.7,28.7,5.1,0.2,0.1,0.0,44.4
