Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Delhi,310000,185027,59.6,99.3,3368,98.2,173692,170911,221839,92.4,119.9,118397.0,124774.0,131119.0,38449.0,32444.0,25497.0,194693,105.2,186185,12.2,170780,92.3,30.5,20,92.8,32.0,0.0,0.0,0.0,0.0,0,0.2,98.4,1.3,1998.0,22.8,9.6,14.7,10.2,1.1,3.9,0.0,37.7
Goa,20000,12018,60.0,99.3,209,98.3,12015,12959,14097,107.8,117.3,670.0,775.0,764.0,14587.0,14665.0,14577.0,16269,135.4,13768,-15.4,15045,125.2,89.6,9,100.0,0.0,0.0,0.0,0.0,0.0,0,1.3,94.1,4.5,33.0,0.0,0.0,21.9,3.1,0.0,0.0,0.0,75.0
Gujarat,1298000,870068,67.0,99.7,13938,98.4,830668,684422,916312,78.7,105.3,118888.0,117343.0,126987.0,751292.0,724457.0,722109.0,862285,99.1,844792,5.9,1013663,116.5,70.0,8585,97.8,85.9,0.0,0.0,0.0,0.0,0,0.7,94.6,4.6,4423.0,1.6,12.5,34.7,2.8,0.3,1.2,0.0,46.9
Haryana,562000,381954,67.9,99.3,5200,98.7,351249,288541,395045,75.5,103.4,5734.0,20370.0,34700.0,352565.0,325298.0,304582.0,367155,96.1,341918,7.1,320667,84.0,51.1,3061,96.3,61.9,0.0,0.0,0.0,0.0,0,0.1,99.2,0.7,1687.0,1.6,5.6,14.3,5.1,0.0,0.0,0.0,73.4
Himachal Pradesh,112000,74258,66.3,97.4,1065,98.6,72440,52746,88523,71.0,119.2,82517.0,81677.0,81405.0,34.0,50.0,77.0,83255,112.1,83034,6.0,77075,103.8,99.9,13,98.8,0.0,0.1,0.0,0.0,0.0,0,0.1,99.7,0.1,991.0,7.2,12.0,12.1,5.1,0.7,2.8,0.0,59.9
Jammu & Kashmir,226000,142412,63.0,98.4,2889,98.0,115808,127688,154259,89.7,108.3,78560.0,79003.0,79550.0,38097.0,39044.0,37709.0,142901,100.3,146821,7.4,66221,46.5,67.1,124,90.9,81.5,0.1,0.1,0.0,0.0,0,1.6,97.8,0.5,152.0,10.4,17.8,14.8,9.6,0.7,2.2,0.0,44.4
Jharkhand,839000,487910,58.1,100.2,7497,98.5,446443,301509,506145,61.8,103.7,532379.0,510013.0,501337.0,0.0,0.0,0.0,494706,101.4,476207,2.3,99692,20.4,3.9,4806,95.2,77.6,0.0,0.1,0.0,0.0,0,3.7,51.5,44.7,752.0,4.2,4.5,21.7,4.3,0.8,4.5,0.0,60.0
Karnataka,1146000,655612,57.2,99.8,8100,98.8,636757,649401,861144,99.1,131.3,220234.0,247776.0,286714.0,669324.0,620310.0,587927.0,771315,117.6,782023,10.4,658445,100.4,82.5,4412,94.8,67.3,0.0,0.0,0.0,0.0,0,1.4,97.6,1.0,3498.0,10.5,20.8,21.8,7.3,0.5,1.7,0.0,37.5
Kerala,499000,380085,76.1,100.3,1717,99.6,379044,368460,386796,96.9,101.8,4166.0,3448.0,2929.0,384335.0,374626.0,365385.0,372110,97.9,367493,3.8,222621,58.6,47.7,2575,99.6,87.7,0.0,0.1,0.0,0.0,0,1.9,97.3,0.6,710.0,4.6,11.1,37.7,3.1,0.2,0.9,0.0,42.5
Lakshadweep,1000,532,53.2,100.2,5,99.1,522,528,555,99.2,104.3,793.0,773.0,733.0,0.0,0.0,0.0,904,169.9,717,-62.9,109,20.5,42.2,16,82.2,85.5,0.0,0.0,0.0,0.0,0,0.0,99.7,0.3,,,,,,,,,
Madhya Pradesh,1985000,1032285,52.0,100.9,17635,98.3,952324,823523,1046581,79.8,101.4,1092294.0,1059999.0,1037065.0,94.0,143.0,140.0,1076607,104.3,1050430,-2.9,1048001,101.5,62.1,2241,96.8,77.4,0.0,0.0,0.0,0.1,0,1.4,76.1,22.4,6228.0,5.3,7.0,24.6,4.3,0.6,2.8,0.1,55.3
Maharashtra,1916000,1367825,71.3,100.7,19769,98.6,1253702,1197454,1508745,87.5,110.3,1511443.0,1445851.0,1441055.0,606.0,605.0,740.0,1449726,106.0,1425135,3.9,1239448,90.6,44.4,15352,99.0,66.8,0.0,0.0,0.0,0.0,0,3.3,76.5,20.2,10260.0,6.9,17.2,34.4,2.3,1.5,1.6,0.0,36.1
Manipur,43000,30779,71.5,100.0,185,99.4,29983,7487,39066,24.3,126.9,39361.0,38273.0,36533.0,0.0,0.0,0.0,34944,113.5,32048,10.6,14639,47.6,18.2,10,88.1,73.2,0.0,0.0,0.0,0.0,0,0.8,98.6,0.6,28.0,0.0,8.3,4.2,12.5,8.3,16.7,0.0,50.0
Meghalaya,73000,60747,83.2,98.4,1445,97.7,51432,28905,64568,47.6,106.3,63068.0,59649.0,57263.0,0.0,0.0,0.0,53594,88.2,50539,17.0,10750,17.7,14.1,97,81.9,60.7,0.0,0.0,0.0,0.0,0,0.7,93.5,5.8,1600.0,5.9,9.2,7.3,14.4,3.3,13.0,0.0,46.9
Mizoram,18000,15958,88.6,99.8,172,98.9,15528,4468,17651,28.0,110.6,15622.0,15879.0,15721.0,0.0,0.0,0.0,15042,94.3,14640,14.8,12723,79.7,65.5,35,96.4,82.9,0.0,0.0,0.0,0.0,0,1.7,81.7,16.6,476.0,9.9,4.5,5.8,27.7,1.1,13.5,0.0,37.6
Nagaland,31000,15451,49.8,99.2,209,98.7,14522,14819,20503,95.9,132.7,19189.0,17843.0,16582.0,0.0,0.0,0.0,15835,102.5,15012,22.8,10981,71.1,28.5,0,96.3,57.0,0.0,0.0,0.0,0.0,0,3.7,87.8,8.5,66.0,12.7,23.8,7.9,9.5,1.6,4.8,0.0,39.7
Odisha,840000,526424,62.6,98.2,13592,97.5,506824,406549,548597,77.2,104.2,506975.0,501622.0,502879.0,0.0,0.0,0.0,510214,96.9,504329,7.0,552855,105.0,170.8,50144,99.3,94.1,0.0,0.0,0.0,0.0,0,0.3,67.8,31.8,9194.0,4.5,15.1,28.6,6.3,0.1,0.9,0.0,44.3
Puducherry,22000,31777,144.4,99.2,558,98.3,31775,29472,29478,92.7,92.8,11795.0,9846.0,9414.0,3068.0,2803.0,2810.0,12131,38.2,12077,58.8,10784,33.9,32.6,3285,96.9,0.0,0.0,0.0,0.0,0.0,0,0.3,99.4,0.4,64.0,18.4,26.5,16.3,6.1,2.0,0.0,0.0,30.6
Punjab,447000,316217,70.7,97.9,4949,98.5,305515,259080,345656,81.9,109.3,326404.0,317797.0,316989.0,253.0,5.0,5.0,332084,105.0,327414,3.9,313966,99.3,79.2,1128,97.3,78.0,0.0,0.0,0.0,0.0,0,0.1,99.4,0.5,1333.0,3.9,3.3,5.0,4.5,2.5,0.8,0.0,80.0
Rajasthan,1823000,1105571,60.6,100.0,20320,98.2,1040545,776386,1146367,70.2,103.7,1121081.0,1060808.0,1050828.0,0.0,0.0,0.0,1046594,94.7,1026473,8.7,907898,82.1,44.1,208,112.4,75.9,0.1,0.0,0.0,0.1,0,0.3,91.5,8.0,15241.0,6.6,13.6,22.2,3.7,1.6,1.5,0.0,50.8
Sikkim,11000,6107,55.5,99.7,82,98.7,5999,5658,6196,92.6,101.5,5944.0,5880.0,5961.0,43.0,60.0,60.0,6498,106.4,6439,-4.9,6463,105.8,90.6,1,99.3,84.6,0.0,0.0,0.0,0.0,0,0.4,99.4,0.2,40.0,2.8,16.7,30.6,8.3,0.0,5.6,0.0,36.1
Tamil Nadu,1142000,776545,67.9,99.4,7803,99.0,770793,771598,772661,99.4,99.5,,,,784048.0,773675.0,770071.0,776078,99.9,753543,-0.4,474299,61.1,173.0,8013,96.1,4.1,0.0,0.0,0.0,0.0,0,0.0,99.9,0.1,7920.0,7.3,23.0,9.8,3.4,0.7,0.5,0.0,55.3
Tripura,52000,38850,74.7,99.0,719,98.2,36079,16200,41176,41.7,106.0,44222.0,42999.0,41522.0,0.0,0.0,0.0,39975,102.9,34555,2.9,34245,88.1,23.5,5,96.6,92.3,0.0,0.0,0.0,0.0,0,0.4,94.5,5.0,226.0,11.5,16.5,7.8,16.5,0.0,4.6,0.0,43.1
Uttar Pradesh,5671000,2852737,50.3,112.8,39904,98.6,2279855,1897916,3460522,66.5,121.3,3561374.0,3321583.0,3281473.0,0.0,0.0,0.0,3565931,125.0,3650754,-3.0,2776887,97.3,76.9,2327,93.3,76.1,2.5,0.1,0.1,0.1,0,14.1,68.2,14.9,846.0,5.2,14.3,10.9,2.7,1.9,7.7,0.0,57.2
Uttarakhand,190000,118355,62.2,99.0,1934,98.4,108816,91794,144237,77.6,121.9,143844.0,149688.0,148911.0,0.0,0.0,0.0,140104,118.4,134044,2.9,6641,5.6,52.0,45,90.5,81.3,0.0,0.0,0.0,0.0,0,0.2,98.7,1.1,269.0,2.8,67.3,5.1,1.2,0.8,3.5,0.0,19.3
West Bengal,1493000,1117021,74.8,98.0,17774,98.4,1054003,872642,1209954,78.1,108.3,1079548.0,1034238.0,1031418.0,0.0,0.0,0.0,1084999,97.1,1026782,10.3,669632,59.9,20.1,15814,96.5,70.7,0.0,0.0,0.0,0.0,0,2.0,97.3,0.7,14333.0,12.1,23.6,22.9,3.4,0.1,1.2,0.0,36.6
