Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,26670000,16101256,60.3,103.9,254145,98.4,14685150,12822085,17812748,79.6,110.6,14466798.0,13899163.0,13844343.0,3049286.0,2918128.0,2840572.0,17061603,106.0,16976106,4.2,13655784,84.8,64.2,146134,96.9,73.4,0.2,0.0,0.0,0.0,0,1.8,90.6,7.3,96227.0,7.3,15.7,22.7,4.7,0.8,2.0,0.0,46.8
A & N Islands,6000,3756,62.6,108.0,79,97.9,3697,3303,3794,87.9,101.0,3750.0,3688.0,3730.0,,,,3824,101.8,4141,-0.8,3418,91.0,156.3,165,89.9,45.1,0.0,0.0,0.0,0.0,0,0.9,86.5,12.6,40.0,25.0,12.5,20.0,7.5,0.0,2.5,0.0,32.5
Andhra Pradesh Old,1504000,1089966,72.4,145.1,16899,98.5,961274,950291,1116038,87.2,102.4,1072184.0,1060396.0,1073350.0,6771.0,6925.0,6651.0,1043881,95.8,1186281,6.5,864945,79.4,67.9,1278,97.8,79.9,0.5,0.3,0.0,0.2,0,5.7,83.9,9.3,4131.0,2.3,10.4,20.7,3.1,0.3,1.5,0.2,61.4
Arunachal Pradesh,27000,11526,42.6,99.6,133,98.9,11319,10042,18054,87.1,156.6,16576.0,15448.0,14467.0,0.0,9.0,5.0,14505,125.8,13767,19.7,1825,15.8,27.5,21,89.5,55.2,0.1,0.0,0.0,0.0,0,0.5,92.8,6.6,35.0,3.3,6.7,3.3,13.3,0.0,0.0,0.0,73.3
Assam,720000,441977,61.3,97.0,10781,97.6,427138,213077,445752,48.2,100.9,469145.0,465504.0,455769.0,0.0,0.0,0.0,456356,103.3,448324,-2.4,425649,96.3,45.0,2373,97.0,93.5,0.0,0.0,0.0,0.0,0,2.1,96.3,1.5,3745.0,4.2,18.9,17.6,4.9,0.5,4.6,0.1,49.3
Bihar,2967000,1556627,52.4,100.4,26552,98.3,1418998,1477053,1860600,94.9,119.5,1792821.0,1682118.0,1623574.0,5189.0,2648.0,1879.0,1672682,107.5,1627151,10.1,1251222,80.4,17.2,9347,97.0,82.6,0.1,0.0,0.0,0.0,0,0.6,98.5,0.8,1585.0,9.1,20.9,10.1,4.4,5.2,7.6,0.3,42.4
Chandigarh,17000,19849,116.7,99.1,620,97.0,19813,18962,19765,95.5,99.6,13627.0,12419.0,12359.0,523.0,361.0,348.0,13389,67.5,13195,32.3,9039,45.5,52.1,1,96.0,0.0,0.0,0.0,0.0,0.0,0,0.4,98.8,0.7,960.0,40.7,7.9,1.4,3.3,0.1,0.0,0.0,46.7
Chhattisgarh,644000,366286,56.8,99.8,7909,97.9,357097,281400,376364,76.8,102.8,386231.0,383806.0,378926.0,8.0,0.0,0.0,367239,100.3,367922,2.4,347620,94.9,36.1,10620,95.1,87.2,0.0,0.0,0.0,0.0,0,0.5,78.4,21.1,3211.0,3.7,7.7,32.4,10.7,0.5,1.6,0.1,43.2
Dadra & Nagar Haveli,10000,5840,58.4,99.6,82,98.6,4747,4547,6046,77.9,103.5,5481.0,5441.0,5577.0,,,,5494,94.1,5432,9.1,3778,64.7,28.1,0,97.2,64.3,0.0,0.0,0.0,0.0,0,1.6,88.5,9.9,101.0,16.8,4.0,19.8,9.9,3.0,3.0,0.0,43.6
Daman & Diu,5000,2904,58.0,100.2,19,99.3,1621,2294,2507,79.0,86.3,2481.0,2436.0,2307.0,0.0,0.0,0.0,2732,94.1,2721,-9.0,2728,93.9,36.6,3,100.0,84.7,0.0,0.0,0.0,0.0,0,0.0,99.8,0.2,51.0,2.5,10.0,57.5,2.5,0.0,0.0,0.0,27.5
