Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,% Newborns weighed at birth to live birth,Number of Newborns having weight less than 2.5 kg,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,% Newborns breast fed within 1 hour of birth to Total live birth,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given Hep- B0 (birth dose),% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,Number of Infants given MR,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Abcess ),Adverse Events Following Imunisation (Deaths),Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,Pneumonia in Children 0-5 Years of Age,Asthma in Children 0-5 Years of Age,Unnamed: 40,Sepsis in Children 0-5 Years of Age,Diphtheria in Children 0-5 Years of Age,Pertussis in Children 0-5 Years of Age,Tetanus Neonatorum in Children 0-5 Years of Age,Tuberculosis (TB) in Children 0-5 Years of Age,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,Measles in Children 0-5 Years of Age,Malaria in Children 0-5 Years of Age,Diarrhoea in Children 0-5 Years of Age,Diarrhoea treated in Inpatients in Children 0-5 Years of Age,No. of infants given Measles Rubella vaccine 1st dose,No. of infants received Rotavirus Vaccine 1st dose,No. of infants received Rotavirus Vaccine 2nd dose,No. of infants received Rotavirus Vaccine 3nd dose,No of children 16-24 months age given Measles 2nd dose,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose
Goa,22000,13659,62.0,100.1,128,99.1,13646,99.9,2139,15.7,10268,75.2,953,13069,14056,11282,95.7,102.9,82.6,52,27,39,14093,13632,13626,0,15196,111.3,14820,100.0,109.5,92.2,8,0,0,99.8,0.0,465,188,605,91,0,0,0,24,24,10,465,2457,953,15196,512,399,399,0,242
Gujarat,1330000,854060,64.2,101.8,9555,98.9,816425,95.6,107935,13.2,759558,88.9,916,814929,935252,607098,95.4,109.5,71.1,9261,7036,7601,858966,828584,834494,510578,357449,101.6,840238,45.4,92.0,78.1,1702,5,5,99.3,89.9,16585,3420,2680,1435,258,14,35,1046,1046,493,16585,235811,17445,357449,1025,177,177,423860,236824
Haryana,588000,383405,65.2,100.4,6012,98.5,366227,95.5,61033,16.7,341242,89.0,912,365212,426891,253035,95.3,111.3,66.0,3133,1051,1092,387350,363732,351794,46197,354202,104.4,368715,89.2,92.8,65.9,487,11,11,95.0,85.9,4779,3905,4310,2824,12,3,0,189,189,191,4779,33905,7398,354202,338803,313945,313945,55710,227162
Himachal Pradesh,117000,64504,55.1,99.4,844,98.7,63745,98.8,7940,12.5,54704,84.8,922,59329,68127,54676,92.0,105.6,84.8,0,0,0,76267,74992,74323,0,78302,121.4,78259,100.0,56.1,99.3,21,1,1,98.8,93.8,2867,296,222,594,0,0,0,77,77,8,2867,14872,1907,78302,76179,74887,74887,16,71313
Jammu & Kashmir,214000,146778,68.5,98.3,2879,98.1,146284,99.7,7834,5.4,131643,89.7,939,144515,155263,129462,98.5,105.8,88.2,27,11,12,170836,164412,161774,106122,56664,110.9,139594,31.7,95.9,112.0,176,0,0,93.4,92.2,3832,2551,2839,1568,7,123,0,101,101,540,3832,66847,17205,56664,97,7,7,103522,29095
Jharkhand,834000,553619,66.3,99.6,6936,98.8,520945,94.1,38363,7.4,511671,92.4,914,336748,580365,271282,60.8,104.8,49.0,1793,872,1336,577446,552417,541502,90327,289566,68.6,362388,84.4,64.7,125.3,1405,6,6,98.6,88.6,6227,261,227,773,10,1,7,241,241,505,6227,13455,2420,289566,468260,370582,370582,86970,180985
Karnataka,1154000,679909,58.9,99.7,6665,99.0,670223,98.6,64320,9.6,642184,94.5,947,648600,787150,583120,95.4,115.8,85.8,2531,1336,1642,834054,807990,817993,11067,798475,119.1,797267,98.6,85.0,26.1,640,15,15,96.9,80.5,17691,15711,13604,3546,129,2,2,870,870,473,17691,172732,28611,798475,11220,9731,9731,17420,748078
Kerala,500000,372607,74.5,101.0,1530,99.6,363876,97.7,40525,11.1,338007,90.7,961,350420,367996,241760,94.0,98.8,64.9,792,529,627,387898,362433,350771,9267,345309,95.2,343012,97.5,91.3,73.5,146,13,13,98.9,89.5,11156,13158,4955,213,22,43,1,127,127,168,11156,53160,14147,345309,7677,5720,5720,1005,13329
Lakshadweep,1000,607,60.7,100.2,10,98.4,603,99.3,44,7.3,495,81.5,873,565,606,552,93.1,99.8,90.9,10,4,9,785,779,793,12,690,115.7,709,98.0,3.3,80.0,0,0,0,92.1,98.4,15,31,335,0,0,0,0,0,0,0,15,1059,54,690,0,0,0,20,639
Madhya Pradesh,2037000,1036297,50.8,98.8,17939,98.3,1004896,97.0,151200,15.0,965879,93.2,936,928802,1036827,874261,89.6,100.1,84.4,4901,3277,3271,1172935,1127761,1105522,1106643,16891,108.4,1118478,-6.7,111.2,96.9,1374,1,1,98.6,88.7,35085,4260,3434,3671,177,59,51,1493,1493,907,35085,166564,53834,16891,1030544,971176,971176,972484,9181
